mvno,doy,cache_demand
0.0,1,567
0.0,2,884
0.0,3,512
0.0,4,1143
0.0,5,800
0.0,6,593
0.0,7,770
0.0,8,1319
0.0,9,2270
0.0,10,1124
0.0,11,769
0.0,12,689
0.0,13,871
0.0,14,909
0.0,15,782
0.0,16,493
0.0,17,1482
0.0,18,759
0.0,19,776
0.0,20,463
0.0,21,699
0.0,22,470
0.0,23,362
0.0,24,741
0.0,25,528
0.0,26,621
0.0,27,361
0.0,28,536
0.0,29,806
0.0,30,567
0.0,31,601
0.0,32,498
0.0,33,739
0.0,34,1071
0.0,35,773
0.0,36,515
0.0,37,550
0.0,38,993
0.0,39,572
0.0,40,1256
0.0,41,604
0.0,42,566
0.0,43,636
0.0,44,876
0.0,45,899
0.0,46,691
0.0,47,752
0.0,48,584
0.0,49,731
0.0,50,1104
0.0,51,436
0.0,52,903
0.0,53,547
0.0,54,533
0.0,55,438
0.0,56,409
0.0,57,483
0.0,58,611
0.0,59,436
0.0,60,460
0.0,61,593
0.0,62,482
0.0,63,955
0.0,64,467
0.0,65,1399
0.0,66,1409
0.0,67,506
0.0,68,686
0.0,69,946
0.0,70,803
0.0,71,568
0.0,72,562
0.0,73,519
0.0,74,358
0.0,75,990
0.0,76,1068
0.0,77,638
0.0,78,657
0.0,79,484
0.0,80,816
0.0,81,452
0.0,82,847
0.0,83,227
0.0,84,592
0.0,85,717
0.0,86,1029
0.0,87,968
0.0,88,976
0.0,89,859
0.0,90,422
0.0,91,450
0.0,92,348
0.0,93,338
0.0,94,558
0.0,95,461
0.0,96,485
0.0,97,842
0.0,98,420
0.0,99,373
0.0,100,502
0.0,101,563
0.0,102,425
0.0,103,936
0.0,104,261
0.0,105,246
0.0,106,481
0.0,107,594
0.0,108,1022
0.0,109,677
0.0,110,751
0.0,111,905
0.0,112,848
0.0,113,342
0.0,114,653
0.0,115,740
0.0,116,863
0.0,117,584
0.0,118,867
0.0,119,407
0.0,120,645
0.0,121,660
0.0,122,580
0.0,123,313
0.0,124,351
0.0,125,553
0.0,126,568
0.0,127,648
0.0,128,765
0.0,129,624
0.0,130,447
0.0,131,486
0.0,132,145
0.0,133,321
0.0,134,377
0.0,135,397
0.0,136,557
0.0,137,800
0.0,138,441
0.0,139,431
0.0,140,403
0.0,141,722
0.0,142,519
0.0,143,432
0.0,144,299
0.0,145,475
0.0,146,416
0.0,147,352
0.0,148,973
0.0,149,261
0.0,150,353
0.0,151,596
0.0,152,346
0.0,153,233
0.0,154,466
0.0,155,507
0.0,156,550
0.0,157,666
0.0,158,1476
0.0,159,1380
0.0,160,597
0.0,161,704
0.0,162,542
0.0,163,471
0.0,164,927
0.0,165,623
0.0,166,433
0.0,167,298
0.0,168,340
0.0,169,425
0.0,170,749
0.0,171,643
0.0,172,529
0.0,173,754
0.0,174,786
0.0,175,249
0.0,177,685
0.0,178,307
0.0,179,298
0.0,180,678
0.0,181,721
0.0,182,1636
0.0,183,384
0.0,184,366
0.0,185,613
0.0,186,505
0.0,187,220
0.0,188,1063
0.0,189,756
0.0,190,433
0.0,191,821
0.0,192,840
0.0,193,1088
0.0,194,674
0.0,195,1161
0.0,196,576
0.0,197,728
0.0,198,731
0.0,199,847
0.0,200,402
0.0,201,782
0.0,202,695
0.0,203,676
0.0,204,839
0.0,205,1023
0.0,206,790
0.0,207,1058
0.0,208,1135
0.0,209,850
0.0,210,507
0.0,211,569
0.0,212,708
0.0,213,684
0.0,214,362
0.0,215,620
0.0,216,661
0.0,217,318
0.0,218,699
0.0,219,526
0.0,220,402
0.0,221,538
0.0,222,701
0.0,223,397
0.0,224,367
0.0,225,375
0.0,226,1194
0.0,227,694
0.0,228,292
0.0,229,501
0.0,230,164
0.0,231,158
0.0,232,519
0.0,233,828
0.0,234,229
0.0,235,305
0.0,236,536
