mvno,doy,cache_demand
0.0,1,246
0.0,2,350
0.0,3,183
0.0,4,426
0.0,5,128
0.0,6,139
0.0,7,166
0.0,8,156
0.0,9,342
0.0,10,145
0.0,11,86
0.0,12,79
0.0,13,3
0.0,14,48
0.0,15,140
0.0,16,66
0.0,17,7
0.0,18,12
0.0,19,69
0.0,20,220
0.0,21,88
0.0,22,41
0.0,23,749
0.0,24,85
0.0,25,45
0.0,26,103
0.0,27,91
0.0,28,210
0.0,29,10
0.0,30,270
0.0,31,76
0.0,32,226
0.0,33,74
0.0,34,44
0.0,35,253
0.0,36,12
0.0,37,80
0.0,38,60
0.0,39,342
0.0,40,186
0.0,41,111
0.0,42,73
0.0,43,8
0.0,44,46
0.0,45,158
0.0,46,9
0.0,47,168
0.0,48,377
0.0,49,187
0.0,50,26
0.0,51,57
0.0,52,39
0.0,53,88
0.0,54,15
0.0,55,13
0.0,56,164
0.0,57,396
0.0,58,268
0.0,59,36
0.0,60,49
0.0,61,63
0.0,62,381
0.0,63,67
0.0,64,210
0.0,65,158
0.0,66,89
0.0,67,105
0.0,68,141
0.0,69,8
0.0,70,98
0.0,71,192
0.0,72,32
0.0,73,57
0.0,74,68
0.0,75,37
0.0,76,17
0.0,77,107
0.0,78,101
0.0,79,57
0.0,80,16
0.0,81,17
0.0,82,39
0.0,83,48
0.0,84,28
0.0,85,8
0.0,86,439
0.0,88,468
0.0,89,213
0.0,90,497
0.0,91,285
0.0,92,421
0.0,93,274
0.0,94,281
0.0,95,75
0.0,96,430
0.0,97,152
0.0,98,308
0.0,99,133
0.0,100,119
0.0,101,123
0.0,102,13
0.0,103,32
0.0,104,12
0.0,105,90
0.0,106,347
0.0,107,145
0.0,108,148
0.0,109,1
0.0,110,45
0.0,111,187
0.0,112,33
0.0,113,41
0.0,114,503
0.0,115,17
0.0,116,91
0.0,117,36
0.0,118,14
0.0,119,47
0.0,120,65
0.0,121,17
0.0,122,30
0.0,123,45
0.0,124,16
0.0,125,4
0.0,126,591
0.0,127,155
0.0,129,75
0.0,130,274
0.0,131,175
0.0,132,244
0.0,133,45
0.0,134,116
0.0,135,258
0.0,136,2
0.0,137,12
0.0,138,97
0.0,139,49
0.0,140,137
0.0,142,11
0.0,143,28
0.0,144,43
0.0,145,62
0.0,146,81
0.0,147,145
0.0,149,99
0.0,150,62
0.0,151,3
0.0,152,47
0.0,153,242
0.0,154,26
0.0,155,120
0.0,156,329
0.0,157,2
0.0,158,66
0.0,159,97
0.0,160,75
0.0,161,31
0.0,162,2
0.0,163,75
0.0,164,49
0.0,165,121
0.0,166,184
0.0,167,95
0.0,168,161
0.0,169,147
0.0,170,19
0.0,171,99
0.0,172,1
0.0,173,47
0.0,174,119
0.0,175,13
0.0,176,73
0.0,177,58
0.0,178,190
0.0,179,333
0.0,180,127
0.0,181,74
0.0,182,151
0.0,183,445
0.0,184,387
0.0,185,39
0.0,186,73
0.0,187,112
0.0,188,125
0.0,189,369
0.0,190,184
0.0,191,57
0.0,192,35
0.0,193,62
0.0,194,3
0.0,195,198
0.0,196,518
0.0,197,261
0.0,198,739
0.0,199,706
0.0,200,695
0.0,201,811
0.0,202,187
0.0,203,620
0.0,204,951
0.0,205,433
0.0,206,578
0.0,207,485
0.0,208,510
0.0,209,802
0.0,210,923
0.0,211,567
0.0,212,403
0.0,213,640
0.0,214,508
0.0,215,782
0.0,216,582
0.0,217,255
0.0,218,445
0.0,219,108
0.0,220,273
0.0,221,142
0.0,222,125
0.0,223,157
0.0,224,347
0.0,225,414
0.0,226,387
0.0,227,566
0.0,228,496
0.0,229,176
0.0,230,431
0.0,231,385
0.0,232,198
0.0,233,120
0.0,234,199
0.0,235,226
0.0,236,106
0.0,237,206
0.0,238,243
0.0,239,168
0.0,240,55
0.0,241,128
0.0,242,202
0.0,243,369
0.0,244,70
0.0,245,6
0.0,246,136
0.0,247,102
0.0,248,411
0.0,249,285
0.0,250,119
0.0,251,70
0.0,252,85
0.0,253,376
0.0,254,114
0.0,255,110
